year,location,mileage,engine_capacity,transmission,service_history,drive_type,regional_specs,owners,fuel_type,cylinders,doors,seats,condition,modifications,name,aed_price,colour
2015,Dubai,"117,261",N/A,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,5,7 Seater,N/A,N/A,Used Toyota Fortuner 2015,"66,099",White
2022,Souq Al Haraj,"36,000",N/A,Automatic,N/A,All Wheel Drive,Canadian Specs,N/A,Petrol,8,4,7 Seater,Perfect inside out,N/A,Used Chevrolet Suburban 5.3L Premium 4WD 2022,"215,000",Black
2011,Ras Al Khor,"20,000",3956,Manual,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,6,2,2 Seater,Perfect inside out,N/A,Used Toyota Land Cruiser Pick Up  4.0L LX Steel Wheel (M/T) 2011,"52,000",White
2019,Ras Al Khor,"90,000",1500,Automatic,N/A,Front Wheel Drive,GCC Specs,1,Diesel,4,4,5 Seater,Perfect inside out,N/A,Used Renault Clio 2019,"38,000",White
2023,Dubai,0,2393,Manual,N/A,All Wheel Drive,GCC Specs,N/A,Diesel,4,4,N/A,Perfect inside out,N/A,New Toyota Hilux 2.4L Double Cab 4x4 2023,"102,000",White
2016,Dubai,"111,172",3498,Automatic,N/A,Front Wheel Drive,American Specs,N/A,Petrol,6,4,5 Seater,Perfect inside out,N/A,Used Nissan Maxima 3.5 SV 2016,"33,498",Gray
2015,Souq Al Haraj,"131,000",3000,Automatic,N/A,All Wheel Drive,European Specs,1,Petrol,6,4,5 Seater,Perfect inside out,N/A,Used Land Rover Range Rover Sport HSE 2015,"109,000",Silver
2016,Souq Al Haraj,"50,000",2000,Automatic,N/A,Front Wheel Drive,American Specs,1,Petrol,4,4,N/A,Perfect inside out,N/A,Used Hyundai Veloster  2.0L MPI Mid 2016,"35,000",White
2001,Mohammed Bin Zayed City,"163,000",0,Automatic,N/A,Drive,Japanese Specs,2,Petrol,8,4,N/A,Perfect inside out,N/A,Used Lexus LS 430 2001,"17,500",Green
2019,Souq Al Haraj,"65,000",3600,Automatic,N/A,All Wheel Drive,American Specs,N/A,Petrol,6,4,5 Seater,N/A,N/A,Used Jeep Jeep Grand Cherokee Laredo 2019,"64,000",Silver
2017,Abu Dhabi,"644,832",N/A,Automatic,N/A,Front Wheel Drive,En,N/A,Petrol,4,4,4 Seater,Minor wear and tear,N/A,Used Toyota Camry 2017,"12,900",White
2004,Industrial Area,"350,000",1000,Automatic,N/A,Front Wheel Drive,GCC Specs,2,Petrol,4,4,N/A,Minor wear and tear,N/A,Used Toyota Camry 2004,"10,000",Gray
2023,Ras Al Khor,0,1500,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,4,7 Seater,Perfect inside out,N/A,New Toyota Rush 2023,"61,000",Silver
2020,Sharjah,"70,000",1497,CVT,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,4,N/A,Perfect inside out,N/A,Used Toyota Yaris Sedan 1.5L E CVT  2020,"47,000",White
2017,Abu Dhabi,"644,832",N/A,Automatic,N/A,Front Wheel Drive,En,N/A,Petrol,4,4,4 Seater,Minor wear and tear,N/A,Used Toyota Camry 2017,"12,900",White
2014,Souq Al Haraj,"240,000",2,Automatic,N/A,Rear Wheel Drive,GCC Specs,2,Petrol,4,2,2 Seater,Perfect inside out,N/A,Used Mercedes-Benz SLK200 2014,"45,000",Black
2017,Sharjah,"120,000",N/A,Automatic,N/A,Drive,GCC Specs,N/A,Petrol,N/A,4,N/A,Perfect inside out,N/A,Used Honda Civic 2017,"52,000",Blue
2018,Al Barsha,"71,844",5600,Automatic,N/A,All Wheel Drive,American Specs,N/A,Petrol,8,4,5 Seater,Perfect inside out,N/A,Used Nissan Titan 5.6 Standard 2018,"75,000",White
2017,Al Barsha,"152,879",4663,Automatic,Yes,Rear Wheel Drive,American Specs,N/A,Petrol,8,4,N/A,Perfect inside out,N/A,Used Mercedes-Benz S-Class S550 2017,"139,000",Black
2020,Al Barsha,"96,938",2000,CVT,Yes,All Wheel Drive,American Specs,N/A,Petrol,4,4,6 Seater,Perfect inside out,N/A,Used Audi Q7 3.0L 333 HP 2020,"165,000",White
2018,Souq Al Haraj,"80,000",3604,Automatic,N/A,Rear Wheel Drive,American Specs,1,Petrol,6,2,N/A,Perfect inside out,N/A,Used Dodge Challenger  3.6L SXT 2018,"55,000",Burgundy
2022,Souq Al Haraj,"24,000",N/A,Automatic,N/A,All Wheel Drive,Canadian Specs,N/A,Petrol,8,4,7 Seater,Perfect inside out,N/A,Used GMC Yukon 5.3 V8 SLT AWD   2022,"208,000",Black
2022,Souq Al Haraj,"47,000",N/A,Automatic,N/A,All Wheel Drive,Canadian Specs,N/A,Petrol,8,4,8 Seater,Perfect inside out,N/A,Used GMC Yukon Denali  6.2L Denali 2022,"239,000",Black
2010,Ajman,"337,000",N/A,Automatic,N/A,All Wheel Drive,American Specs,N/A,Petrol,8,5,8 Seater,Perfect inside out,N/A,Used GMC Yukon Denali 2010,"24,000",White
2014,Ajman,"175,000",N/A,Automatic,N/A,Drive,American Specs,N/A,Petrol,8,4,5 Seater,Perfect inside out,No,Used Toyota Tundra 2014,"63,000",Red
2019,Ajman,"62,000",N/A,Automatic,N/A,Drive,Other Specs,N/A,Diesel,4,4,4 Seater,Perfect inside out,N/A,Used Mercedes-Benz E-Class 2019,"120,000",Black
2014,Ajman,"143,000",2500,Automatic,N/A,Rear Wheel Drive,American Specs,N/A,Petrol,6,4,5 Seater,Perfect inside out,N/A,Used Lexus IS 250 F 2014,"41,000",Gray
2019,Ajman,"23,000",1598,Automatic,N/A,Front Wheel Drive,Other Specs,N/A,Petrol,4,5,5 Seater,Perfect inside out,N/A,Used Nissan Kicks 1.6 SV 2019,"43,000",Blue
2018,Ajman,"56,000",N/A,Automatic,N/A,Drive,American Specs,N/A,Petrol,8,4,5 Seater,Perfect inside out,N/A,Used Toyota Tundra 2018,"117,000",Black
2018,Ajman,"70,640",5700,Automatic,N/A,All Wheel Drive,American Specs,N/A,Petrol,8,4,5 Seater,Perfect inside out,No,Used Toyota Tundra 1794 Special Edition 2018,"128,000",Brown
2020,Al Barsha,"96,938",2000,CVT,Yes,All Wheel Drive,American Specs,N/A,Petrol,4,4,6 Seater,Perfect inside out,N/A,Used Audi Q7 3.0L 333 HP 2020,"165,000",White
2021,Al Barsha,"20,319",5700,Automatic,N/A,All Wheel Drive,American Specs,N/A,Petrol,8,4,7 Seater,Perfect inside out,N/A,Used Dodge Durango 5.7L 2021,"89,000",Black
2014,Sharjah,"152,000",3500,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,6,5,N/A,Perfect inside out,N/A,Used Mitsubishi Pajero 3.5L GLS 5 Door 2014,"35,000",White
2020,Souq Al Haraj,"105,000",5700,Automatic,N/A,Rear Wheel Drive,American Specs,N/A,Petrol,8,4,5 Seater,N/A,N/A,Used Dodge Charger   R/T Road Track 5.7L 2020,"77,000",White
2017,Al Barsha,"130,690",2700,Automatic,N/A,All Wheel Drive,American Specs,N/A,Petrol,6,5,5 Seater,Perfect inside out,N/A,Used Ford F-150  3.5L EcoBoost Crew Cab Lariat  (Luxury+Chrome Pack) 2017,"69,000",Blue
2018,Al Barsha,"95,000",4600,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,8,4,7 Seater,Perfect inside out,N/A,Used Lexus GX 460 4.6 2018,"135,000",White
2020,Al Barsha,"13,984",1987,Automatic,N/A,Front Wheel Drive,American Specs,N/A,Petrol,4,4,5 Seater,Perfect inside out,No,Used Toyota Corolla 2.0L Sport 2020,"54,000",White
2021,Al Barsha,"26,865",3604,Automatic,N/A,All Wheel Drive,American Specs,N/A,Petrol,6,5,7 Seater,Perfect inside out,N/A,Used Jeep Grand Cherokee L 3.6L Limited 2021,"118,000",Red
2021,Al Barsha,"71,775",1984,Automatic,N/A,All Wheel Drive,American Specs,N/A,Petrol,6,5,7 Seater,Perfect inside out,N/A,Used Audi Q7 40 TFSI Premium Quattro 252 HP  2021,"175,000",Black
2015,Al Jarf,"85,000",5000,Automatic,N/A,All Wheel Drive,American Specs,N/A,Petrol,8,4,5 Seater,Perfect inside out,N/A,Used Land Rover Range Rover Sport Supercharged 2015,"109,000",Black
2018,Al Jarf,"95,000",3778,Automatic,N/A,Rear Wheel Drive,Other Specs,N/A,Petrol,6,4,5 Seater,Perfect inside out,N/A,Used Genesis G80  3.8L Premier 2018,"67,000",Black
2018,Al Jarf,"66,900",3342,Automatic,N/A,Rear Wheel Drive,American Specs,N/A,Petrol,6,4,5 Seater,Perfect inside out,N/A,Used Genesis G80 3.3T Sport 2018,"79,000",Black
2005,Ajman,"135,000",N/A,Automatic,N/A,Drive,En,N/A,Petrol,N/A,2,3 Seater,Perfect inside out,N/A,Used Chevrolet Silverado HD3500 2005,"60,000",Yellow
2022,Sharjah,"31,000",N/A,Automatic,N/A,Drive,Canadian Specs,N/A,Petrol,4,4,N/A,Perfect inside out,N/A,Used BMW X3 2022,"160,000",Blue
2020,Dubai,"72,465",3000,Automatic,N/A,All Wheel Drive,Other Specs,N/A,Diesel,6,4,N/A,Perfect inside out,N/A,Used Mercedes-Benz X-Class 2020,"199,000",Black
2022,Dubai,0,3000,Automatic,N/A,All Wheel Drive,Other Specs,N/A,Hybrid,6,5,5 Seater,Perfect inside out,N/A,New Land Rover Defender 110 HSE P400 2022,"439,000",White
2019,Dubai,"70,000",N/A,Automatic,Yes,All Wheel Drive,GCC Specs,N/A,Petrol,6,5,7 Seater,Perfect inside out,N/A,Used Land Rover Range Rover 2019,"269,000",Silver
2020,Al Shawamekh,0,N/A,Automatic,N/A,All Wheel Drive,American Specs,N/A,Petrol,6,2,5 Seater,Perfect inside out,N/A,New GMC Syclone 2020,"310,000",Black
2017,Sharjah,"62,000",N/A,Automatic,N/A,Drive,Other Specs,N/A,Petrol,4,4,5 Seater,Perfect inside out,N/A,Used Honda Accord 2017,"37,500",Gray
2023,Dubai,0,N/A,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,5,4 Seater,Perfect inside out,N/A,New Hyundai Tucson 2023,"105,000",Gray
2020,Al Shamkha,"41,000",3000,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,6,4,5 Seater,Perfect inside out,N/A,Used Maserati Quattroporte 2020,"255,000",Blue
2023,Al Awir,0,4200,Manual,N/A,All Wheel Drive,GCC Specs,N/A,Diesel,6,3,8 Seater,Perfect inside out,N/A,New Toyota Land Cruiser 2023,Call for Price,White
2023,Ras Al Khor,0,2497,Automatic,N/A,Rear Wheel Drive,GCC Specs,N/A,Petrol,4,4,5 Seater,Perfect inside out,N/A,New Genesis G80 2.5T Royal RWD  2023,"179,000",White
2017,Al Jarf,"120,700",1991,Automatic,N/A,Rear Wheel Drive,American Specs,N/A,Petrol,4,4,5 Seater,Perfect inside out,N/A,Used Mercedes-Benz C-Class C 300 2017,"69,000",Black
2018,Al Jarf,"15,700",1991,Automatic,N/A,All Wheel Drive,Other Specs,N/A,Petrol,4,5,5 Seater,Perfect inside out,N/A,Used Mercedes-Benz GLC Coupe 250 4MATIC 2018,"129,000",Gray
2020,Al Jarf,"55,000",3600,Automatic,N/A,All Wheel Drive,American Specs,N/A,Petrol,6,4,5 Seater,Perfect inside out,N/A,Used Jeep Grand Cherokee Limited 2020,"78,000",Maroon
2019,Al Jarf,"50,000",3778,Automatic,N/A,Rear Wheel Drive,American Specs,N/A,Petrol,6,4,5 Seater,Perfect inside out,N/A,Used Genesis G80 3.8L Premium 2019,"63,000",Silver
2017,Sharjah,"95,000",1600,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,4,N/A,Perfect inside out,N/A,Used Hyundai Elantra 2017,"42,000",White
2017,Sharjah,"101,000",1500,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,5,N/A,Perfect inside out,N/A,Used Ford EcoSport 1.5 Titanium 2017,"42,000",Brown
2018,Souq Al Haraj,"87,000",2487,CVT,Yes,Front Wheel Drive,American Specs,N/A,Hybrid,4,4,5 Seater,Perfect inside out,N/A,Used Toyota Camry  2.5L LE Hybrid (212 HP) 2018,"62,000",White
2021,Sharjah,"85,000",2000,CVT,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,5,N/A,Perfect inside out,N/A,Used Mitsubishi ASX 2.0L 2021,"58,000",Black
2023,Al Awir,0,1,Automatic,N/A,Front Wheel Drive,Other Specs,N/A,Petrol,4,5,N/A,Perfect inside out,No,New Suzuki Celerio 2023,"30,300",Silver
2023,Al Awir,0,1,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,4,5,6 Seater,Perfect inside out,N/A,New Chevrolet Captiva 2023,"74,000",White
2012,Sharjah,106,1500,Automatic,N/A,Front Wheel Drive,GCC Specs,2,Petrol,4,5,5 Seater,Perfect inside out,N/A,Used Toyota Yaris  1.5L (Hatchback) 2012,"22,000",Black
2023,Al Awir,0,1498,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,5,7 Seater,Perfect inside out,N/A,New Jetour X70  1.5T Luxury 2023,Call for Price,Blue
2021,Souq Al Haraj,"70,000",1991,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,N/A,N/A,Perfect inside out,N/A,Used Mercedes-Benz V Class V250 Extra Long Avantgarde  2021,"235,000",Black
2017,Souq Al Haraj,"127,000",1991,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,4,5,5 Seater,Perfect inside out,N/A,Used Mercedes-Benz GLA  250 4MATIC 2017,"68,000",Beige
2023,Ras Al Khor,0,2500,CVT,N/A,All Wheel Drive,GCC Specs,N/A,Hybrid,4,4,5 Seater,N/A,N/A,New Toyota Rav4 2023,"135,000",Black
2023,Ras Al Khor,0,2500,CVT,N/A,Front Wheel Drive,GCC Specs,N/A,Hybrid,4,4,5 Seater,N/A,N/A,New Toyota Camry 2023,"106,000",White
2023,Ras Al Khor,0,2000,Automatic,N/A,All Wheel Drive,Other Specs,N/A,Diesel,4,5,5 Seater,N/A,N/A,New Hyundai Tucson 2023,"115,000",White
2015,Dubai,"64,163",N/A,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,4,5 Seater,N/A,N/A,Used Renault Koleos 2015,"36,299",Brown
2019,Dubai,"61,616",N/A,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,4,5 Seater,N/A,N/A,Used Mazda 6 2019,"63,099",Red
2015,Dubai,"159,772",N/A,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,4,5 Seater,N/A,N/A,Used Hyundai Tucson 2015,"42,299",Black
2015,Dubai,"134,701",N/A,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,4,5 Seater,N/A,N/A,Used Renault Duster 2015,"32,599",White
2012,Sharjah,106,1500,Automatic,N/A,Front Wheel Drive,GCC Specs,2,Petrol,4,5,5 Seater,Perfect inside out,N/A,Used Toyota Yaris  1.5L (Hatchback) 2012,"22,000",Black
1979,Ajman,"98,000",N/A,Manual,N/A,Drive,American Specs,N/A,Petrol,8,2,2 Seater,Perfect inside out,N/A,Used Nissan GT-R 1979,"39,500",Black
2023,Al Awir,0,2400,Automatic,N/A,All Wheel Drive,Canadian Specs,N/A,Petrol,4,5,5 Seater,Perfect inside out,N/A,New Lexus NX 350 F Sport AWD 2023,"215,000",Black
2023,Al Shamkha,0,2400,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,4,6 Seater,Perfect inside out,N/A,New Chevrolet Captiva 2.4L  2023,"78,000",Silver
2023,Al Shamkha,0,3600,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,6,5,5 Seater,Perfect inside out,N/A,New Jeep Wrangler 4 Door 2023,"211,000",White
2020,Ajman,"68,000",N/A,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,4,N/A,Perfect inside out,N/A,Used Kia Pegas 2020,"29,500",Gold
2018,Ajman,"109,000",1999,Automatic,N/A,All Wheel Drive,Other Specs,N/A,Petrol,4,5,5 Seater,Perfect inside out,N/A,Used Ford Escape 2.0L EcoBoost SE AWD 2018,"22,000",Gray
2018,Sharjah,"113,000",N/A,Automatic,N/A,Drive,En,N/A,Petrol,N/A,4,N/A,Perfect inside out,N/A,Used Kia Optima 2018,"31,000",Gray
2016,Al Furjan,"160,000",1499,Automatic,N/A,Front Wheel Drive,GCC Specs,2,Petrol,4,4,5 Seater,Perfect inside out,No,Used Ford Focus  1.5L EcoBoost Ambiente (Sedan) 2016,"19,999",White
2022,Al Shamkha,0,N/A,Automatic,N/A,All Wheel Drive,American Specs,N/A,Petrol,6,4,5 Seater,Perfect inside out,N/A,New Toyota Tundra 2022,"270,000",Brown
2016,Al Nahda,"165,000",2000,Automatic,N/A,Front Wheel Drive,GCC Specs,2,Petrol,4,4,N/A,Minor wear and tear,N/A,Used Toyota Corolla  2.0L SE Plus 2016,"34,000",White
2016,Ajman,"100,000",N/A,Automatic,N/A,All Wheel Drive,American Specs,N/A,Petrol,6,5,5 Seater,Perfect inside out,N/A,Used Ford Edge 2016,"47,000",White
2015,Dubai,"89,863",N/A,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,5,5 Seater,N/A,N/A,Used Nissan X-Trail 2015,"56,699",Blue
2016,Dubai,"154,011",N/A,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,4,5 Seater,N/A,N/A,Used Toyota Yaris 2016,"36,999",Silver
2013,Al Qusais,"140,000",4400,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,8,5,5 Seater,Perfect inside out,N/A,Used BMW X5 50i xDrive  2013,"35,000",Brown
2013,Al Qusais,"270,000",6200,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,8,4,5 Seater,Perfect inside out,N/A,Used GMC Sierra Denali 6.2L V8 All Wheel Drive 2013,"39,000",White
2013,Al Qusais,"183,999",2457,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,4,4,5 Seater,Perfect inside out,N/A,Used Cadillac ATS 2.5L 2013,"27,000",White
2022,Al Shawamekh,"13,000",N/A,Automatic,N/A,Rear Wheel Drive,American Specs,N/A,Electric,"N/A, Electric",4,5 Seater,Perfect inside out,N/A,Used Mercedes-Benz EQS Sedan 450+ 2022,"340,000",Gray
2020,Al Jarf,"30,880",2500,Automatic,N/A,Front Wheel Drive,American Specs,1,Petrol,4,4,5 Seater,Perfect inside out,N/A,Used Hyundai Sonata 2.5L Mid   2020,"55,000",White
2020,Al Jarf,"86,677",3498,Automatic,N/A,Front Wheel Drive,American Specs,1,Petrol,6,4,5 Seater,Perfect inside out,N/A,Used Nissan Maxima  3.5L SV 2020,"53,000",Silver
2021,Dubai,"21,000",3500,Automatic,N/A,Rear Wheel Drive,GCC Specs,N/A,Petrol,6,2,2 Seater,Perfect inside out,N/A,Used Lotus Evora GT410 Sport 2021,"260,000",Gray
2017,Abu Dhabi,"200,000",5300,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,8,5,7 Seater,Perfect inside out,N/A,Used Chevrolet Tahoe LT 2017,"82,000",Gold
2012,Abu Dhabi Mall,"134,000",1600,Automatic,N/A,Front Wheel Drive,GCC Specs,2,Petrol,4,2,2 Seater,Perfect inside out,N/A,Used Mini Cabrio  Cooper S 2012,"28,000",Beige
2019,Bu Danig,"80,000",N/A,Automatic,N/A,Front Wheel Drive,American Specs,N/A,Petrol,4,4,5 Seater,Perfect inside out,N/A,Used Nissan Sentra 1.8L SV 2019,"28,000",Maroon
2020,Sharjah,"76,000",N/A,Automatic,N/A,Drive,En,N/A,Petrol,N/A,4,N/A,Perfect inside out,N/A,Used Lincoln Navigator 2020,"165,000",Black
2017,Abu Dhabi,"522,498",N/A,Automatic,N/A,Front Wheel Drive,En,N/A,Petrol,4,4,4 Seater,Minor wear and tear,N/A,Used Toyota Corolla 2017,"13,000",White
2014,Souq Al Haraj,"199,000",5552,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,6,4,8 Seater,Perfect inside out,N/A,Used Nissan Patrol  LE Platinum 2014,"69,000",White
2017,Sharjah,"145,000",1591,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,5,N/A,Perfect inside out,N/A,Used Hyundai Creta 1.6L Mid 2017,"42,000",White
2017,Ajman,"110,000",3564,Automatic,N/A,Front Wheel Drive,American Specs,N/A,Petrol,6,4,N/A,Perfect inside out,N/A,Used Chevrolet Impala LTZ 2017,"33,000",Black
2020,Sharjah,"86,000",N/A,Automatic,N/A,Drive,En,N/A,Petrol,N/A,4,N/A,Perfect inside out,N/A,Used Land Rover Range Rover 2020,"215,000",Black
2011,Ajman,"192,000",N/A,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,6,5,N/A,Perfect inside out,N/A,Used BMW X6 2011,"33,000",White
2020,Sharjah,"42,000",2487,Automatic,N/A,Front Wheel Drive,American Specs,2,Petrol,4,4,N/A,Perfect inside out,N/A,Used Toyota Camry  2.5L S (178 HP) 2020,"55,000",White
2023,Sharjah,"15,000",N/A,Automatic,N/A,Drive,En,N/A,Hybrid,N/A,4,N/A,Perfect inside out,N/A,Used Toyota Tundra 2023,"242,000",White
2019,Ajman,"200,000",N/A,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,N/A,4,N/A,Perfect inside out,N/A,Used Toyota Camry 2019,"75,000",Gray
2022,Dubai,"15,000",N/A,Automatic,Yes,All Wheel Drive,GCC Specs,N/A,Petrol,8,5,N/A,Perfect inside out,N/A,Used Land Rover Defender 2022,"590,000",Black
2022,Dubai,0,5000,Automatic,Yes,All Wheel Drive,GCC Specs,N/A,Petrol,8,5,5 Seater,Perfect inside out,N/A,New Land Rover Range Rover Vogue HSE 2022,"790,000",Gold
2023,Dubai,0,N/A,Automatic,N/A,All Wheel Drive,American Specs,N/A,Petrol,6,4,5 Seater,Perfect inside out,N/A,New Toyota Tundra 2023,"335,000",Silver
2022,Dubai,"19,500",0,Automatic,Yes,All Wheel Drive,GCC Specs,N/A,Petrol,8,5,6 Seater,Perfect inside out,N/A,Used Mercedes-Benz G 63 AMG V8 Biturbo 2022,"870,000",White
2022,Dubai,0,N/A,Automatic,N/A,Drive,GCC Specs,N/A,Electric,"N/A, Electric",4,7 Seater,Perfect inside out,N/A,New Tesla Model Y 2022,"225,000",White
2014,Dubai,"192,000",5000,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,8,5,5 Seater,Perfect inside out,N/A,Used Land Rover Range Rover Sport Supercharged 2014,"125,000",Green
2022,Dubai,0,N/A,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Electric,"N/A, Electric",4,5 Seater,Perfect inside out,N/A,New Tesla Model 3 Performance AWD 2022,"229,000",Black
2023,Al Awir,0,3500,Automatic,N/A,Drive,Canadian Specs,N/A,Hybrid,6,5,8 Seater,Perfect inside out,N/A,New Toyota Sequoia  3.5L V6 Hybrid (AWD) 2023,"355,000",White
2021,Al Jarf,"19,427",2500,CVT,N/A,All Wheel Drive,American Specs,1,Hybrid,4,5,7 Seater,Perfect inside out,N/A,Used Toyota Highlander  2.5L Hybrid LE FWD 2021,"118,000",Silver
2019,Sharjah,"70,700",5700,Automatic,N/A,Rear Wheel Drive,American Specs,N/A,Petrol,8,4,5 Seater,Perfect inside out,N/A,Used Dodge Charger 5.7L R/T 2019,"72,000",White
2019,Ajman,"200,000",N/A,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,N/A,4,N/A,Perfect inside out,N/A,Used Toyota Camry 2019,"75,000",Gray
2019,Sharjah,"73,000",N/A,Automatic,N/A,Drive,GCC Specs,N/A,Petrol,N/A,5,N/A,Perfect inside out,N/A,Used Nissan Kicks 2019,"43,000",White
2014,Abu Dhabi City Centre,160,2500,Automatic,N/A,Front Wheel Drive,American Specs,N/A,Petrol,4,4,5 Seater,Perfect inside out,N/A,Used Nissan Altima  2.5 SL 2014,"20,000",Red
2017,Sharjah,"50,000",N/A,Automatic,N/A,Drive,Not Sure,N/A,Petrol,Not Sure,4,N/A,Perfect inside out,N/A,Used Lexus LS 460 2017,"120,000",White
2023,Al Awir,0,3954,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,6,5,8 Seater,Perfect inside out,N/A,New Nissan Patrol  4.0L SE Platinum 2023,"295,000",Black
2023,Al Awir,0,3500,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,6,5,7 Seater,Perfect inside out,N/A,New Lexus LX 600 Signature AWD 7-Seats  2023,"575,000",Black
2018,Abu Dhabi,"390,187",N/A,Automatic,N/A,Front Wheel Drive,En,N/A,Petrol,4,4,4 Seater,Minor wear and tear,N/A,Used Toyota Corolla 2018,"14,200",White
2017,Ajman,"150,000",N/A,Automatic,N/A,Front Wheel Drive,American Specs,N/A,Petrol,4,4,N/A,Perfect inside out,N/A,Used Hyundai Accent 2017,"18,500",White
2013,Naemiyah,"140,000",1598,CVT,N/A,Front Wheel Drive,GCC Specs,2,Petrol,4,4,N/A,Minor wear and tear,N/A,Used Nissan Sentra 1.6L Sedan 2013,"17,000",Silver
2006,Dubai,"310,748",N/A,Automatic,N/A,Front Wheel Drive,En,N/A,Petrol,4,4,4 Seater,Normal wear and tear with a few issues,N/A,Used Nissan Tiida 2006,"2,000",Gold
2022,Sharjah,"24,700",N/A,Automatic,N/A,Drive,Not Sure,N/A,Hybrid,Not Sure,4,N/A,Perfect inside out,N/A,Used Jeep Wrangler Unlimited 2022,"147,000",Black
2018,Al Quoz,"120,000",1500,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,4,5 Seater,Perfect inside out,N/A,Used Toyota Yaris Hatchback  1.5L SE 2018,"34,000",White
2023,Al Shamkha,0,2400,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,4,6 Seater,Perfect inside out,N/A,New Chevrolet Captiva 2.4L  2023,"78,000",Silver
2022,Ras Al Khor,0,N/A,Automatic,N/A,All Wheel Drive,Other Specs,N/A,Electric,"N/A, Electric",4,5 Seater,Perfect inside out,N/A,New Toyota bZ4X XLE AWD 2022,"140,000",Gray
2022,Ras Al Khor,0,N/A,Automatic,N/A,Rear Wheel Drive,European Specs,N/A,Electric,"N/A, Electric",5,N/A,Perfect inside out,N/A,New Volkswagen ID4 2022,"155,000",White
2023,Ras Al Khor,0,0,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Electric,"N/A, Electric",5,5 Seater,Perfect inside out,N/A,New Tesla Model 3 Standard 2023,"230,000",Black
2022,Souq Al Haraj,"42,000",N/A,Automatic,N/A,All Wheel Drive,Canadian Specs,N/A,Petrol,8,4,7 Seater,Perfect inside out,N/A,Used Chevrolet Suburban 2022,"167,000",Black
2023,Ras Al Khor,0,1400,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,4,4,5 Seater,N/A,N/A,New Hyundai Accent 1.4L 2023,"49,000",White
2023,Ras Al Khor,0,3500,Automatic,N/A,All Wheel Drive,GCC Specs,N/A,Petrol,6,4,7 Seater,N/A,N/A,New Lexus LX 600 Signature AWD 7-Seats  2023,"540,000",White
2023,Ras Al Khor,0,3500,Automatic,N/A,Front Wheel Drive,GCC Specs,N/A,Petrol,6,5,7 Seater,N/A,N/A,New Hyundai Santa Fe 3.5L High AWD  2023,"122,000",White
2023,Ras Al Khor,0,3500,Automatic,N/A,All Wheel Drive,Canadian Specs,N/A,Hybrid,6,4,8 Seater,N/A,N/A,New Toyota Sequoia 2023,"387,000",Black
